MType;MType2;h(kpc);re(kpc);Blg/T;M/Lbu;M/Ld;Mblg(Msun);Mdisk(Msun)
'classical'   ;unbarred    ; 2.103; 1.244; 0.359;1.1e+00;1.7e+00;1.0e+10;2.8e+10
classical   ;unbarred    ; 2.409; 1.827; 0.483;6.2e+00;1.5e+00;1.4e+11;3.6e+10
pseudo-bulge;unbarred    ; 2.189; 0.523; 0.032;2.5e+00;6.7e-01;1.4e+09;1.1e+10
elliptical  ;unbarred    ;      ; 2.735; 1.000;1.2e+00;       ;4.1e+10;
elliptical  ;unbarred    ;      ; 3.120; 1.000;1.7e+00;       ;6.1e+10;
pseudo-bulge;unbarred    ; 2.429; 1.339; 0.085;1.6e+02;7.9e-01;4.3e+11;2.2e+10
elliptical  ;unbarred    ;      ; 2.324; 1.000;2.2e+00;       ;2.5e+10;
elliptical  ;unbarred    ;      ; 1.638; 1.000;2.8e+00;       ;6.4e+10;
elliptical  ;unbarred    ;      ; 2.084; 1.000;1.9e+00;       ;4.8e+10;
elliptical  ;unbarred    ;      ; 1.368; 1.000;2.7e+00;       ;4.4e+10;
barred      ;pseudo-bulge; 2.590; 0.653; 0.026;1.1e+01;6.1e-01;3.8e+09;7.3e+09
elliptical  ;unbarred    ;      ; 2.035; 1.000;2.5e+00;       ;3.2e+10;
classical   ;unbarred    ; 3.215; 1.453; 0.690;1.8e+00;2.1e+00;2.0e+10;1.0e+10
elliptical  ;unbarred    ;      ; 1.987; 1.000;1.5e+00;       ;1.2e+10;
elliptical  ;unbarred    ;      ; 2.389; 1.000;1.2e+00;       ;1.5e+10;
barred      ;classical   ; 1.848; 2.023; 0.582;1.2e+00;1.0e+00;1.4e+10;5.7e+09
pseudo-bulge;unbarred    ; 3.252; 0.587; 0.033;3.1e+00;6.2e-01;1.0e+09;6.1e+09
elliptical  ;unbarred    ;      ; 1.482; 1.000;1.7e+00;       ;1.7e+10;
unbarred    ;            ; 3.910; 2.112; 0.000;1.9e+00;1.9e+00;2.3e+10;2.4e+10
pseudo-bulge;unbarred    ; 2.600; 1.779; 0.349;5.3e-01;9.6e-01;2.7e+09;9.0e+09
barred      ;classical   ; 2.890; 0.905; 0.448;2.5e+00;1.3e+00;4.5e+10;2.1e+10
pseudo-bulge;unbarred    ; 3.471; 0.903; 0.053;9.4e-01;7.5e-01;5.7e+08;8.0e+09
elliptical  ;unbarred    ;      ; 2.134; 1.000;1.8e+00;       ;2.4e+10;
bulgeless   ;unbarred    ; 1.018;      ; 0.000;       ;8.3e-01;       ;9.7e+09
barred      ;classical   ; 4.786; 1.304; 0.230;2.2e+00;9.0e-01;1.3e+10;1.4e+10
elliptical  ;unbarred    ;      ; 2.659; 1.000;2.0e+00;       ;8.2e+10;
elliptical  ;unbarred    ;      ; 3.161; 1.000;2.1e+00;       ;4.0e+10;
pseudo-bulge;unbarred    ; 2.411; 1.464; 0.517;8.2e-01;4.1e+00;4.3e+09;1.9e+10
classical   ;unbarred    ; 1.135; 1.718; 0.719;1.2e+00;1.4e+00;2.1e+10;9.5e+09
barred      ;pseudo-bulge; 2.882; 1.115; 0.101;1.0e+01;8.5e-01;2.0e+10;1.4e+10
classical   ;unbarred    ; 1.013; 0.713; 0.485;2.1e+00;1.5e+00;9.4e+09;7.1e+09
classical   ;unbarred    ; 1.820; 2.711; 0.851;2.0e+00;5.6e+00;4.7e+10;2.3e+10
barred      ;classical   ; 1.784; 1.041; 0.334;1.0e+00;1.2e+00;5.1e+09;8.2e+09
barred      ;pseudo-bulge; 2.921; 0.442; 0.034;6.8e-01;6.8e-01;3.1e+08;8.3e+09
elliptical  ;unbarred    ;      ; 2.038; 1.000;1.4e+00;       ;3.2e+10;
elliptical  ;unbarred    ;      ; 1.906; 1.000;1.9e+00;       ;2.2e+10;
