h(kpc) re(kpc) B/T   Mb(Msun) Md(Msun)
------ ------ ------ ------- -------
2.103  1.244  0.359 1.0e+10 2.8e+10
2.409  1.827  0.483 1.4e+11 3.6e+10
2.189  0.523  0.032 1.4e+09 1.1e+10
0      2.735  1.000 4.1e+10 0
0      3.120  1.000 6.1e+10 0
2.429  1.339  0.085 4.3e+11 2.2e+10
0      2.324  1.000 2.5e+10 0
0      1.638  1.000 6.4e+10 0
0      2.084  1.000 4.8e+10 0
0      1.368  1.000 4.4e+10 0
2.590  0.653  0.026 3.8e+09 7.3e+09
0      2.035  1.000 3.2e+10 0
3.215  1.453  0.690 2.0e+10 1.0e+10
0      1.987  1.000 1.2e+10 0
0      2.389  1.000 1.5e+10 0
1.848  2.023  0.582 1.4e+10 5.7e+09
3.252  0.587  0.033 1.0e+09 6.1e+09
0      1.482  1.000 1.7e+10 0
3.910  2.112  0.000 2.3e+10 2.4e+10
2.600  1.779  0.349 2.7e+09 9.0e+09
2.890  0.905  0.448 4.5e+10 2.1e+10
3.471  0.903  0.053 5.7e+08 8.0e+09
0      2.134  1.000 2.4e+10 0
1.018  0      0.000 0      9.7e+09
4.786  1.304  0.230 1.3e+10 1.4e+10
0      2.659  1.000 8.2e+10 0
0      3.161  1.000 4.0e+10 0
2.411  1.464  0.517 4.3e+09 1.9e+10
1.135  1.718  0.719 2.1e+10 9.5e+09
2.882  1.115  0.101 2.0e+10 1.4e+10
1.013  0.713  0.485 9.4e+09 7.1e+09
1.820  2.711  0.851 4.7e+10 2.3e+10
1.784  1.041  0.334 5.1e+09 8.2e+09
2.921  0.442  0.034 3.1e+08 8.3e+09
0      2.038  1.000 3.2e+10 0
0      1.906  1.000 2.2e+10 0
1.489  1.394  0.601 7.1e+09 1.2e+10
2.112  1.734  0.712 1.6e+10 1.2e+10
2.351  1.424  0.468 2.5e+10 2.0e+10
0      1.522  1.000 8.7e+09 0
0      2.123  1.000 3.0e+10 0
2.018  0.628  0.122 7.2e+09 1.6e+10
1.404  1.000  0.641 7.0e+09 6.4e+09
2.914  0.778  0.165 4.8e+09 1.5e+10
1.366  0.938  0.083 4.9e+10 8.9e+09
1.672  1.639  0.723 2.8e+10 8.2e+09
1.559  1.147  0.550 4.4e+09 7.9e+09
2.452  0.916  0.330 6.4e+09 1.9e+10
4.931  0.683  0.062 4.0e+09 2.5e+10
2.823  0.569  0.023 1.1e+09 2.1e+10
5.923  1.776  0.582 6.6e+10 1.0e+10
5.785  1.741  0.650 6.3e+10 3.9e+10
0      2.486  1.000 5.4e+10 0
4.189  1.662  0.625 2.7e+10 9.4e+09
3.855  0.721  0.093 8.1e+09 1.3e+10
0      3.295  1.000 9.5e+10 0
3.285  0.572  0.038 1.5e+09 3.0e+10
0      2.921  1.000 5.8e+10 0
2.658  1.513  0.449 5.3e+10 1.0e+11
3.647  3.009  0.762 9.2e+10 2.6e+10
3.873  1.329  0.074 3.3e+09 1.9e+10
4.194  0.863  0.082 6.3e+09 1.2e+10
3.740  1.777  0.752 2.4e+10 1.2e+10
2.083  0.650  0.202 5.7e+09 3.9e+09
3.658  2.358  0.630 5.0e+10 2.4e+10
1.522  0.661  0.186 1.9e+10 7.3e+09
2.398  1.741  0.628 1.4e+10 2.1e+10
0      3.265  1.000 6.9e+10 0
0      2.662  1.000 2.9e+10 0
0      1.922  1.000 1.6e+10 0
0      1.354  1.000 2.2e+10 0
2.158  0.799  0.446 7.9e+09 9.5e+09
1.630  0.805  0.348 2.8e+10 7.3e+09
2.118  0.487  0.098 4.7e+09 1.0e+10
4.047  1.193  0.259 2.4e+10 2.9e+10
3.350  0.503  0.037 7.4e+08 5.1e+09
2.787  2.570  0.757 5.9e+10 2.6e+10
2.581  0.950  0.355 1.3e+10 2.8e+10
0      1.463  1.000 1.8e+10 0
2.953  0.573  0.305 3.0e+09 1.4e+10
2.632  0.892  0.257 6.5e+09 1.6e+10
2.037  0.968  0.263 3.5e+09 7.7e+09
0      2.984  1.000 5.7e+10 0
2.053  0.883  0.441 4.1e+10 8.0e+09
1.142  0.672  0.535 4.5e+09 5.3e+09
2.121  1.491  0.504 2.5e+10 6.1e+09
3.746  1.104  0.366 1.6e+10 3.3e+10
2.391  0.373  0.013 7.2e+10 1.6e+10
0      2.920  1.000 7.9e+10 0
0      6.210  1.000 1.7e+11 0
3.445  0.974  0.163 1.3e+10 2.3e+10
2.322  0.706  0.055 6.0e+09 1.7e+10
2.873  0.856  0.165 1.8e+10 7.9e+09
0      1.859  1.000 3.2e+10 0
0      4.050  1.000 1.5e+11 0
2.401  1.099  0.195 4.6e+08 3.2e+10
4.966  1.123  0.251 1.1e+10 2.7e+10
3.164  0.331  0.023 3.3e+08 1.2e+10
